2019-09-01 16:12:09,657| WARNING|          pdf_parser|            __call__: No sections found in W17-5214
2019-09-01 16:12:09,657| WARNING|          pdf_parser|            __call__: No abstract found for P07-2009
2019-09-01 16:12:09,657| WARNING|          pdf_parser|            __call__: W19-4021 issue with getting a name from an author in paper
2019-09-01 16:12:09,657| WARNING|          pdf_parser|            __call__: C00-1014 issue with getting a name from an author in paper
2019-09-01 16:12:09,657| WARNING|          pdf_parser|            __call__: C00-1014 issue with getting a name from an author in paper
2019-09-01 16:12:09,657| WARNING|          pdf_parser|            __call__: P16-1159 issue with getting a name from an author in paper
2019-09-01 16:12:09,657| WARNING|          pdf_parser|            __call__: P14-1029 issue with getting a name from an author in paper
2019-09-01 16:12:09,658| WARNING|          pdf_parser|            __call__: P14-1029 issue with getting a name from an author in paper
2019-09-01 16:12:09,658| WARNING|          pdf_parser|            __call__: P19-1022 issue with getting a name from an author in paper
2019-09-01 16:12:09,658| WARNING|          pdf_parser|            __call__: L18-1535 issue with getting a name from an author in paper
2019-09-01 16:12:09,658| WARNING|          pdf_parser|            __call__: L18-1535 issue with getting a name from an author in paper
2019-09-01 16:12:09,658| WARNING|          pdf_parser|            __call__: No abstract found for J95-2005
2019-09-01 16:12:09,658| WARNING|          pdf_parser|            __call__: No sections found in W89-0210
2019-09-01 16:12:09,658| WARNING|          pdf_parser|            __call__: S07-1099 issue with getting a name from an author in paper
2019-09-01 16:12:09,658| WARNING|          pdf_parser|            __call__: S07-1099 issue with getting a name from an author in paper
2019-09-01 16:12:09,658| WARNING|          pdf_parser|            __call__: S07-1099 issue with getting a name from an author in paper
2019-09-01 16:12:09,658| WARNING|          pdf_parser|            __call__: N19-1060 issue with getting a name from an author in paper
2019-09-01 16:12:09,658| WARNING|          pdf_parser|            __call__: H93-1099 issue with getting a name from an author in paper
2019-09-01 16:12:09,658| WARNING|          pdf_parser|            __call__: H93-1099 issue with getting a name from an author in paper
2019-09-01 16:12:09,658| WARNING|          pdf_parser|            __call__: H93-1099 issue with getting a name from an author in paper
2019-09-01 16:12:09,658| WARNING|          pdf_parser|            __call__: No sections found in H93-1099
2019-09-01 16:12:09,658| WARNING|          pdf_parser|            __call__: L16-1221 issue with getting a name from an author in paper
